날짜,누적 확진자수
2020-01-23,1
2020-01-24,2
2020-01-25,2
2020-01-26,2
2020-01-27,4
2020-01-28,4
2020-01-29,4
2020-01-30,4
2020-01-31,4
2020-02-01,12
2020-02-02,15
2020-02-03,15
2020-02-04,16
2020-02-05,19
2020-02-06,23
2020-02-07,24
2020-02-08,24
2020-02-09,27
2020-02-10,27
2020-02-11,28
2020-02-12,28
2020-02-13,28
2020-02-14,28
2020-02-15,28
2020-02-16,29
2020-02-17,30
2020-02-18,31
2020-02-19,51
2020-02-20,104
2020-02-21,204
2020-02-22,433
2020-02-23,602
2020-02-24,833
2020-02-25,977
2020-02-26,1261
2020-02-27,1766
2020-02-28,2337
2020-02-29,3150
2020-03-01,3736
2020-03-02,4212
2020-03-03,4812
2020-03-04,5328
2020-03-05,5766
,
,
,
,
,
,
,
,
,
,
